__time,/foil_consigne/servo_aileron_left,/foil_consigne/servo_aileron_right,/foil_consigne/servo_foil,/foil_consigne/servo_gouvernail,/foil_consigne/thruster
1707317338.734249,2.562986374,-0.409567505,-1.486276865,0.000000000,40.000000000
1707317338.834280,2.556125164,-0.417001158,-1.486563087,0.000000000,40.000000000
1707317338.934306,2.512219906,-0.461743921,-1.486981869,0.000000000,40.000000000
1707317339.034216,2.469778776,-0.504622877,-1.487200737,0.000000000,40.000000000
1707317339.133998,2.429966211,-0.544644833,-1.487305522,0.000000000,40.000000000
1707317339.233953,2.398910522,-0.574875951,-1.486893296,0.000000000,40.000000000
1707317339.333926,2.404006243,-0.570236862,-1.487121582,0.000000000,40.000000000
1707317339.434062,2.422712088,-0.552824080,-1.487768054,0.000000000,40.000000000
1707317339.534122,2.457663536,-0.517969429,-1.487816572,0.000000000,40.000000000
1707317339.633863,2.477423429,-0.498026848,-1.487725139,0.000000000,40.000000000
1707317339.734100,2.487447739,-0.489667982,-1.488557816,0.000000000,40.000000000
1707317339.834082,2.481223106,-0.496345639,-1.488784313,0.000000000,40.000000000
1707317339.934223,2.454044580,-0.523716152,-1.488880396,0.000000000,40.000000000
1707317340.034035,2.435821056,-0.543863595,-1.489842296,0.000000000,40.000000000
1707317340.134150,2.419819355,-0.560324490,-1.490071893,0.000000000,40.000000000
1707317340.234137,2.411192417,-0.566373825,-1.488783121,0.000000000,40.000000000
1707317340.334003,2.425169945,-0.555054724,-1.490112424,0.000000000,40.000000000
1707317340.434105,2.441343546,-0.538507998,-1.489925861,0.000000000,40.000000000
1707317340.534019,2.465822458,-0.513651967,-1.489737272,0.000000000,40.000000000
1707317340.633865,2.475175858,-0.504572153,-1.489874005,0.000000000,40.000000000
1707317340.733945,2.475718260,-0.503152013,-1.489435196,0.000000000,40.000000000
1707317340.833792,2.465539455,-0.512063980,-1.488801718,0.000000000,40.000000000
1707317340.933687,2.442567110,-0.532942891,-1.487755060,0.000000000,40.000000000
